VIEGO,49%
EZREAL,48%
WUKONG,54%
RENATA,51%
GANGPLANK,41%
KARMA,45%
KALISTA,58%
AHRI,54%
TALIYAH,58%
LUCIAN,52%
SENNA,48%
LILLIA,48%
FIORA,49%
AZIR,45%
LULU,46%
NAMI,53%
YONE,49%
TAHMKENCH,51%
APHELIOS,47%
GRAVES,49%
GWEN,49%
NAUTILUS,47%
VIKTOR,43%
GNAR,56%
RAKAN,57%
LEESIN,53%
ZOE,60%
ORNN,56%
LEBLANC,38%
GRAGAS,54%
CAMILLE,54%
JHIN,48%
ZERI,61%
KAISA,44%
KINDRED,53%
YUUMI,58%
JAYCE,51%
AATROX,53%
XAYAH,57%
KAYLE,45%
VOLIBEAR,54%
SYLAS,57%
OLAF,41%
KOGMAW,42%
TWISTEDFATE,56%
LISSANDRA,51%
IRELIA,52%
JINX,43%
PYKE,42%
AKALI,48%
SERAPHINE,49%
SWAIN,50%
TRISTANA,39%
GALIO,49%
JAX,53%
ORIANNA,58%
BRAUM,49%
CORKI,38%
SION,52%
BARD,61%
RUMBLE,60%
KARTHUS,43%
TWITCH,53%
LEONA,34%
YASUO,51%
TRYNDAMERE,51%
TRUNDLE,56%
DRAVEN,45%
VLADIMIR,36%
ALISTAR,48%
VEIGAR,41%
SYNDRA,61%
KENNEN,54%
UDYR,52%
SEJUANI,33%
AKSHAN,73%
RENEKTON,52%
NIDALEE,60%
TALON,48%
ZED,29%
ASHE,50%
NOCTURNE,71%
ZAC,25%
ZILEAN,35%
RENGAR,40%
DIANA,53%
HECARIM,42%
VARUS,47%
THRESH,39%
JARVANIV,53%
XINZHAO,35%
VI,53%
RELL,47%
VAYNE,25%
JANNA,50%
SORAKA,56%
SETT,47%
BLITZCRANK,80%
VELKOZ,47%
EVELYNN,57%
QIYANA,50%
SINGED,64%
CASSIOPEIA,36%
ZIGGS,57%
KAYN,23%
MORDEKAISER,62%
SAMIRA,58%
CAITLYN,33%
MISSFORTUNE,80%
SIVIR,40%
MALPHITE,60%
RYZE,30%
SONA,44%
DRMUNDO,56%
KASSADIN,75%
POPPY,43%
TARIC,86%
VEX,86%
SHEN,50%
RIVEN,50%
KHAZIX,33%
CHOGATH,33%
REKSAI,17%
XERATH,60%
SHYVANA,60%
EKKO,0%
FIDDLESTICKS,50%
KLED,50%
PANTHEON,50%
NEEKO,50%
BRAND,0%
ANIVIA,0%
FIZZ,33%
ZYRA,67%
URGOT,67%
LUX,33%
BELVETH,67%
MAOKAI,33%
GAREN,50%
MALZAHAR,50%
DARIUS,50%
MORGANA,100%
NASUS,0%
ELISE,0%
AMUMU,100%
TEEMO,100%
ANNIE,100%
